28,175-89-2978,INACTIVE,Harris,Dido,,M,3,1961-11-23,9828 West East,None,V6K 1S4,Montreal,WA,United States of America,603-1794,,,Dido.Harris@gmx.pt,None,Arkansas Tax for white collar workers,0.045,Saskatchewan Income Tax for blue collar workers,0.16,,,,,1,1,2018-12-02,9999-12-31
29,624-42-7155,INACTIVE,Frosst,Shobana,H,F,2,2008-03-12,11478 Cantrell Road,None,77294,Ontario,CO,United States of America,280-4062,(337) 684-3978,583-3885,Shobana.H.Frosst@mailmaniacs.com,Shobana.H.Frosst@gmx.fr,Idaho Income Tax for inherited wealth,0.082,Indiana Income Tax for the masses,0.034,,,,,1,1,2018-12-02,9999-12-31
30,407-05-6737,ACTIVE,Voight,Vijya,,U,2,1928-09-27,19532 Goodwin Way,None,92613,Quebec,IL,United States of America,(410) 845-7530,252-8906,,Vijya.Voight@safe-mail.net,None,Northwest Territories Income Tax for the employed,0.382,Canadian Income Tax for the huddled masses,0.22,,,,,1,1,2018-12-02,9999-12-31
31,407-60-4362,ACTIVE,Mia,Mysore,,U,2,1985-08-29,22958 Lander Road,None,V6S 1S7,Baton Rouge,FL,United States of America,(632) 044-1713,392-3318,758-8550,Mysore.Mia@wildmail.com,Mysore.Mia@lavabit.com,New Brunswick Income Tax for doctors and lawyers,0.16,Hawaii Income Tax for the masses,0.0428,,,,,1,1,2018-12-02,9999-12-31
32,638-76-1189,INACTIVE,Paris,Odella,W,U,3,1972-03-09,1584 Emmonds Rue,None,M5A 1X9,Yonkers,Quebec,United States of America,370-7646,793-9782,209-9664,Odella.W.Paris@gmx.it,Odella.W.Paris@gmx.co.uk,Delaware Income Tax for blue collar workers,0.022,British Columbia Income Tax for inherited wealth,0.45,,,,,1,1,2018-12-02,9999-12-31
33,724-05-1065,INACTIVE,Pevec,Nedi,,U,3,1990-10-20,7944 Nealy North,None,80194,West Covina,Nova Scotia,United States of America,678-3289,778-8982,,Nedi.Pevec@box.az,Nedi.Pevec@farce.de,New Brunswick Income Tax for blue collar workers,0.3068,Virginia Income Tax for the masses,0.02,,,,,1,1,2018-12-02,9999-12-31
34,944-22-9464,INACTIVE,Fenn,Lab,,U,2,2017-06-05,2297 Amsterdam Court,None,40210,Fremont,FL,United States of America,914-8373,060-1178,,Lab.Fenn@mail2world.com,Lab.Fenn@quake0.de,Minnesota Income Tax for school teachers,0.0535,California Tax for inherited wealth,0.093,,,,,1,1,2018-12-02,9999-12-31
35,968-20-1686,ACTIVE,Hambali,Alexandrina,J,U,1,1929-07-14,12169 Cannas Drive,None,60798,Ontario,AK,United States of America,835-0816,648-9013,043-7652,Alexandrina.J.Hambali@london.com,None,California Tax for children,0.01,Utah Income Tax for the elderly,0.0418,,,,,1,1,2018-12-02,9999-12-31
36,655-85-8227,INACTIVE,Myer,Ailsun,,U,1,1941-06-23,20211 Electra Drive,None,67216,Fremont,CT,United States of America,(285) 261-9764,(789) 417-9356,,Ailsun.Myer@mail2world.com,None,Idaho Income Tax for inherited wealth,0.082,Missouri Income Tax for doctors and lawyers,0.015,,,,,1,1,2018-12-02,9999-12-31
37,558-28-7727,ACTIVE,Bohner,Salome,,U,2,2004-11-26,10122 Archer Court,None,T5C 1V1,Tulsa,KS,Canada,890-0187,+1 (803) 402-4408,(512) 793-8979,Salome.Bohner@mailmetrash.com,Salome.Bohner@gmx.com.my,Ontario Income Tax for school teachers,0.2816,Minnesota Income Tax for school teachers,0.0535,,,,,1,1,2018-12-02,9999-12-31
38,829-09-4569,INACTIVE,Bridges,Dia-Edin,N,U,2,1959-05-16,23788 Linden Drive,None,78748,Sacramento,MD,United States of America,+1 (343) 703-4789,+1 (238) 397-8614,,Dia-Edin.N.Bridges@webmail.co.za,None,U.S. Income Tax Bracket for the poor,0.15,Oklahoma Income Tax for the unemployed,0.0586,,,,,1,1,2018-12-02,9999-12-31
39,680-12-4306,INACTIVE,Markovic,Anne,N,F,1,2003-02-02,14266 Lemming South,None,10217,Montpelier,CT,United States of America,+1 (523) 052-1733,365-7234,,Anne.N.Markovic@macgui.com,None,Arkansas Tax for children,0.01,Alabama Tax for blue collar workers,0.02,,,,,1,1,2018-12-02,9999-12-31
40,307-12-3214,INACTIVE,Orgren-Streb,Koressa,D,U,1,1996-01-25,23781 King South,None,M5D 1Y2,Jackson,Newfoundland,United States of America,367-8336,,,Koressa.D.Orgren-Streb@devils.com,None,New Mexico Income Tax for the elderly,0.017,Idaho Income Tax for school teachers,0.0377,,,,,1,1,2018-12-02,9999-12-31
41,456-26-7843,INACTIVE,Crawshaw,Blythe,V,U,2,1919-10-12,21185 4th South,None,M5G 1V4,Fort Collins,SC,United States of America,+1 (966) 196-7621,,,Blythe.V.Crawshaw@gawab.com,None,Northwest Territories Income Tax for doctors,0.279,Ontario Income Tax for the unemployed,0.3306,,,,,1,1,2018-12-02,9999-12-31
42,234-00-6692,ACTIVE,Guty,Ram,,U,3,1957-09-03,14827 Paine Upper,None,V6L 1V3,Rancho Cucamonga,NE,United States of America,(450) 455-7973,193-9079,,Ram.Guty@peacemail.com,Ram.Guty@hotmail.com,Utah Income Tax for the masses,0.023,Nunavut Income Tax for children,0.0,,,,,1,1,2018-12-02,9999-12-31
43,271-67-8004,INACTIVE,Brivins,Hoekstra,,U,2,1944-04-15,3384 Smithdale Crescent,None,53225,Beaumont,RI,Canada,+1 (814) 934-7667,(550) 694-4576,+1 (321) 800-4139,Hoekstra.Brivins@europe.com,Hoekstra.Brivins@vegemail.com,Yukon Income Tax for school teachers,0.1747,Manitoba Income Tax for the masses,0.16,,,,,1,1,2018-12-02,9999-12-31
44,967-00-4632,ACTIVE,Nicandro,Jock,B,U,2,1953-01-12,14290 Barberry Rue,None,V6S 1T3,Salt Lake City,NM,United States of America,272-5246,260-4678,,Jock.B.Nicandro@gmx.pt,None,Delaware Income Tax for the elderly,0.0283,Kentucky Income Tax for the masses,0.05,NIC5106,,1142899,HighValue+Expenses+Boomer+Spender,1,1,2018-12-02,9999-12-31
45,233-68-9101,ACTIVE,Christy,Benny,V,U,3,1934-08-04,2504 Idlewild Rue,None,T6A 1D2,Waco,CO,United States of America,607-9444,(235) 282-2644,,Benny.V.Christy@deadaddress.com,Benny.V.Christy@mac.hush.com,Newfoundland Income Tax for blue collar workers,0.2657,Nova Scotia Income Tax for inherited wealth,0.4434,,,,,1,0,2018-12-02,9999-12-31
46,552-93-6622,ACTIVE,Flynn,Hui,,U,3,2003-02-20,739 Dunbar Way,None,67208,Mobile,PA,United States of America,(773) 829-2611,540-2717,,Hui.Flynn@operamail.com,Hui.Flynn@12Freeukisp.co.uk,North Carolina Income Tax for school teachers,0.06,Arizona Income Tax for inherited wealth,0.0504,,,,,1,1,2018-12-02,9999-12-31
47,147-10-8829,ACTIVE,Hightower,Sameh,,U,3,1988-06-06,20405 Dowlen North,None,E4A 1R2,Newark,WY,United States of America,175-5976,(815) 311-6179,351-2460,Sameh.Hightower@shtrudel.net,Sameh.Hightower@mailmaniacs.com,Ontario Income Tax for children,0.0,Missouri Income Tax for doctors and lawyers,0.015,,,,,1,1,2018-12-02,9999-12-31
48,673-79-3037,INACTIVE,Roman,Chungsik,,U,2,1924-02-05,6038 Norman West,None,X5F 1U1,Las Cruces,AL,United States of America,990-6125,(480) 646-8100,325-8841,Chungsik.Roman@vegemail.com,Chungsik.Roman@lpemail.com,North Carolina Income Tax for doctors and lawyers,0.0688,Oklahoma Income Tax for children,0.005,,,,,1,1,2018-12-02,9999-12-31
49,540-96-8970,ACTIVE,Wayman,Adrienne,,U,3,1984-11-18,15465 Cliffbrook West,None,T5B 1Z3,San Jose,UT,Canada,133-4913,302-0027,,Adrienne.Wayman@gmail.com,None,Iowa Income Tax for the unemployed,0.0467,Oklahoma Income Tax for the unemployed,0.0586,Way4711,368,2174828,Expenses,1,1,2018-12-02,9999-12-31
50,021-92-5107,INACTIVE,Gavens,Wilhelmus,,U,2,2000-11-27,6528 Pembrook North,None,85218,Alexandria,New Brunswick,United States of America,(285) 713-4878,096-8383,,Wilhelmus.Gavens@gmx.it,Wilhelmus.Gavens@gmx.pt,Yukon Income Tax for blue collar workers,0.2336,Missouri Income Tax for the masses,0.03,,,,,1,1,2018-12-02,9999-12-31
51,746-23-5767,ACTIVE,Metrics,Simon,U,U,2,1963-11-06,20826 Bellwood Crescent,Suite 471,38133,Lewiston,Prince Edward Island,United States of America,935-5290,114-7317,434-5138,Simon.U.Metrics@macgui.com,Simon.U.Metrics@myway.com,Oklahoma Income Tax for inherited wealth,0.0675,Alabama Tax for school teachers,0.04,,,,,1,1,2018-12-02,9999-12-31
52,165-88-7745,ACTIVE,Schnirer,Aurea,N,U,3,1942-10-08,19424 Verde Street,None,V6I 1U2,Halifax,IA,United States of America,769-5474,,,Aurea.N.Schnirer@4uchat.de,Aurea.N.Schnirer@vfemail.net,Nunavut Income Tax for blue collar workers,0.3115,New Jersey Income Tax for doctors and lawyers,0.0438,,,,,1,0,2018-12-02,9999-12-31
53,389-72-7929,INACTIVE,Sugarman,Cherlyn,,U,3,1945-09-21,22498 Smithdale Avenue,None,93831,Rancho Cucamonga,TX,United States of America,(658) 186-4441,,,Cherlyn.Sugarman@fastemailer.com,None,Minnesota Income Tax for doctors and lawyers,0.066,Arkansas Tax for white collar workers,0.045,,,,,1,1,2018-12-02,9999-12-31
54,479-65-7373,ACTIVE,Wagner,Buffy,N,U,2,1918-02-01,13917 Wood Road,None,35873,Yellow Knife,ME,United States of America,+1 (718) 499-6942,+1 (292) 683-9992,,Buffy.N.Wagner@hush.ai,None,Manitoba Income Tax for the elderly,0.322,Alberta Income Tax for children,0.0,,,,,1,1,2018-12-02,9999-12-31
55,723-86-6668,INACTIVE,Huboi,Angelie,V,U,2,1920-01-13,24977 Garden Brook Upper,None,E7O 1F1,Chesapeake,NJ,Canada,(989) 364-9674,+1 (794) 738-7392,,Angelie.V.Huboi@gawab.com,None,Nunavut Income Tax for doctors and lawyers,0.3695,Ohio Income Tax for the unemployed,0.0362,,,,,1,1,2018-12-02,9999-12-31
56,365-27-1131,ACTIVE,Brinkman,Janela,Q,U,2,2003-10-29,1560 Howard Court,None,V5C 1M5,Little Rock,KY,Canada,(972) 712-8390,+1 (317) 237-4651,+1 (213) 485-0619,Janela.Q.Brinkman@vegemail.com,None,District of Columbia Income Tax for workers,0.095,Newfoundland Income Tax for the elderly,0.3962,,,,,1,1,2018-12-02,9999-12-31
57,190-98-0967,INACTIVE,Rausa,Evan,R,M,2,1937-12-16,11618 Jack North,Apt. 955,10088,Palmdale,Ontario,United States of America,298-7402,+1 (229) 724-4921,(720) 088-8447,Evan.R.Rausa@hushmail.com,Evan.R.Rausa@taunusstein.net,Saskatchewan Income Tax for school teachers,0.295,Manitoba Income Tax for school teachers,0.382,Rau2519,412,1551989,Expenses+Boomer+MoneyAlert,1,1,2018-12-02,9999-12-31
58,043-52-1939,ACTIVE,Ude,Jimmie,,U,2,1925-04-17,13990 Panther Creek Park,None,V6O 1Q8,Sherbrooke,WY,United States of America,325-5425,(353) 518-4482,,Jimmie.Ude@safe-mail.net,Jimmie.Ude@london.com,Saskatchewan Income Tax for the unemployed,0.42,U.S. Income Tax Bracket for the huddled masses,0.275,,,,,1,1,2018-12-02,9999-12-31
59,931-49-3623,ACTIVE,MacNeill,Janette,,U,3,1942-10-18,348 Fennel Way,None,E4A 1R8,Ann Arbor,RI,Canada,581-0252,(493) 197-9457,355-2259,Janette.MacNeill@gawab.com,None,Newfoundland Income Tax for school teachers,0.3216,Ontario Income Tax for those driving SUVs,0.3939,,,,,1,1,2018-12-02,9999-12-31
60,007-07-4033,ACTIVE,Thomey,Mellisa,D,U,2,1950-08-14,9176 Clark West,None,93816,Berkeley,ID,United States of America,(415) 849-0925,486-9859,,Mellisa.D.Thomey@gmx.ph,None,Idaho Income Tax for blue collar workers,0.0554,Oregon Income Tax for doctors and lawyers,0.07,,,,,1,1,2018-12-02,9999-12-31
61,253-44-7397,ACTIVE,Quane,Alparslan,,U,2,2007-12-18,9094 Pine Upper,None,H2B 1U9,Gary,ME,United States of America,183-3300,864-5238,,Alparslan.Quane@mailmaniacs.com,Alparslan.Quane@gmx.hk,Iowa Income Tax for the unemployed,0.0467,Yukon Income Tax for inherited wealth,0.4301,,,,,1,1,2018-12-02,9999-12-31
62,939-75-9451,INACTIVE,Lapre,Grady,,M,2,1928-10-14,14359 Commerce West,None,21260,Paterson,WV,United States of America,097-4589,,,Grady.Lapre@operamail.com,Grady.Lapre@shtrudel.com,Northwest Territories Income Tax for children,0.0,Maine Income Tax for inherited wealth,0.085,,,,,1,1,2018-12-02,9999-12-31
63,769-83-5651,ACTIVE,Ivan,Ming,,U,3,1969-02-09,24064 Dodd East,None,T6D 1B6,Nashville,CO,United States of America,+1 (591) 359-8422,485-1787,918-9412,Ming.Ivan@icqmail.com,Ming.Ivan@gawab.com,North Dakota Income Tax for everyone else,0.0933,Ontario Income Tax for inherited wealth,0.4341,,,,,1,1,2018-12-02,9999-12-31
64,158-42-3133,INACTIVE,Shnider,Kriste,,U,2,1975-03-16,3771 Annapolis Drive,None,M5C 1U9,Sacramento,WV,United States of America,(565) 552-9239,343-7582,+1 (519) 904-0520,Kriste.Shnider@deadaddress.com,None,Idaho Income Tax for doctors and lawyers,0.0466,North Dakota Income Tax for the unemployed,0.0667,,,,,1,1,2018-12-02,9999-12-31
65,170-79-6002,ACTIVE,Sellwood,Salim,,U,3,1965-04-15,22592 Bledsoe Avenue,None,43668,Tempe,Nova Scotia,United States of America,775-5641,111-3434,,Salim.Sellwood@shtrudel.tv,Salim.Sellwood@hushmail.me,Ohio Income Tax for inherited wealth,0.0698,California Tax for children,0.01,,,,,1,1,2018-12-02,9999-12-31
66,741-64-3680,ACTIVE,McConkey,Fayma,,U,2,1932-10-03,3124 Congress Park,Suite 114,H2C 1Z3,Missoula,WI,United States of America,(558) 473-7712,011-5739,,Fayma.McConkey@taunusstein.net,None,Georgia Income Tax for doctors and lawyers,0.04,Wyoming Income Tax for blue collar workers,0.0,Mcc4928,,1017220,Expenses+Spender,1,0,2018-12-02,9999-12-31
67,142-31-9205,INACTIVE,Keitel,Karan,,U,2,2010-12-01,1781 Love Bird Boulevard,None,21285,Overland Park,DE,United States of America,+1 (244) 828-4576,(756) 235-7626,,Karan.Keitel@gmx.pt,Karan.Keitel@gawab.com,Quebec Income Tax for blue collar workers,0.17,South Carolina Income Tax for the elderly,0.061,,,,,1,1,2018-12-02,9999-12-31
68,475-18-6370,ACTIVE,Helpb,Rob,,U,3,1984-11-28,23914 Roberts Lane,None,60743,Dover,Alberta,United States of America,281-6205,193-7770,,Rob.Helpb@animail.net,Rob.Helpb@post.com,New York Income Tax for doctors and lawyers,0.0543,Ontario Income Tax for everyone else,0.3854,Hel6330,414,1702557,HighValue,1,1,2018-12-02,9999-12-31
69,193-93-0949,INACTIVE,Marshman,Tan,C,U,2,1919-07-05,18133 Cherry West,None,76126,Sunnyvale,FL,United States of America,+1 (889) 662-1131,505-9373,,Tan.C.Marshman@ip6.li,None,Alabama Tax for school teachers,0.04,Hawaii Income Tax for those driving SUVs,0.0786,,,,,1,1,2018-12-02,9999-12-31
70,717-41-7225,ACTIVE,Moorefield,Joelynn,D,U,3,1944-12-09,2566 Milbury Avenue,None,25705,Thousand Oaks,MS,Canada,(266) 404-6753,+1 (495) 226-7624,,Joelynn.D.Moorefield@wildmail.com,None,New Jersey Income Tax for doctors and lawyers,0.0438,Maryland Income Tax for the masses,0.039,,,,,1,1,2018-12-02,9999-12-31
71,637-18-9208,INACTIVE,Targosky,Elsy,A,U,2,1946-11-23,453 River Terrace West,None,22309,St. Petersburg,Manitoba,United States of America,681-0441,,,Elsy.A.Targosky@fastmail.fm,Elsy.A.Targosky@netdove.net,British Columbia Income Tax for those driving SUVs,0.427,Maryland Income Tax for school teachers,0.02,,,,,1,1,2018-12-02,9999-12-31
72,037-98-8238,ACTIVE,Hearn,Kellie,,U,2,1931-06-23,19015 Chennault Lane,None,94591,Paterson,AZ,Canada,(551) 257-1931,129-2638,+1 (687) 557-7077,Kellie.Hearn@animail.net,None,Newfoundland Income Tax for inherited wealth,0.4864,Newfoundland Income Tax for the unemployed,0.4164,,,,,1,1,2018-12-02,9999-12-31
73,034-98-8485,INACTIVE,Pankhurst,Jordana,,U,2,1999-11-12,11559 Cone Avenue,None,85703,Fargo,SC,Canada,+1 (350) 888-3925,+1 (584) 417-8313,(621) 772-8556,Jordana.Pankhurst@gmx.pt,Jordana.Pankhurst@ip6.li,Montana Income Tax for the elderly,0.06,Newfoundland Income Tax for inherited wealth,0.4864,,,,,1,1,2018-12-02,9999-12-31
74,558-94-6526,INACTIVE,Drinnan,Janaye,,U,3,1918-05-04,22220 Maywind Road,Apt. 811,80906,Boise,Prince Edward Island,United States of America,+1 (260) 472-3512,508-2262,,Janaye.Drinnan@teancum.net,Janaye.Drinnan@deacons.com,Nova Scotia Income Tax for the unemployed,0.3867,California Tax for the masses,0.0432,dri2736,458,3169847,HighValue+Expenses+Boomer,1,1,2018-12-02,9999-12-31
75,393-09-8047,INACTIVE,Vanwychen,Coop,,U,2,1994-07-06,19443 Payne Boulevard,None,94133,Fort Collins,NV,United States of America,+1 (800) 892-8989,+1 (622) 272-0878,,Coop.Vanwychen@hotmail.com,None,Missouri Income Tax for the elderly,0.025,Nunavut Income Tax for the elderly,0.309,,,,,1,1,2018-12-02,9999-12-31
